"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","タスク編集_ID無し（/edit）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","93","タスク編集_存在しないID(/edit/id)はNotFoundが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 異常系","ci/smoke/all-pages-smoke.spec.ts","",""
"","368","ログイン認証保持：user6","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","103","マイページ（/mypage）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","234","ログインできること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（正常系）","e2e/auth/login.spec.ts","",""
"","277","ログイン認証保持：user4","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","167","ユーザー名のみ不正でログインエラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 不正","ci/auth/login.spec.ts","",""
"","192","ユーザー名が日本語 + 半角英数記号でも正しく表示されること","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > ユーザー名","e2e/mypage/mypage-api.spec.ts","",""
"","1375","スタッツの値が正しいこと","chromium","2025-12-13","passed","2025-12-13","マイページ > タスクN件：すべて未完了","e2e/mypage/mypage-basic.spec.ts","",""
"","275","ログイン認証保持：user2","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","294","<script> が文字列として処理されること","chromium","2025-12-13","passed","2025-12-13","タスク新規作成画面 > 新規作成 > 動作（異常系）","e2e/tasks/tasks-create.spec.ts","",""
"","24","done_rateの値が50%になること_大きな値","chromium","2025-12-13","passed","2025-12-13","APIテスト > done_rateの計算処理 > 正常系","e2e/mypage/mypage-api.spec.ts","",""
